LAT,LON,FATALITIES,INJURY_COLLISIONS,TOTAL_COLLISIONS,AUTOMOBILE,MOTORCYCLE,PASSENGER,BICYCLE,PEDESTRIAN,DANGER_SCORE,WARD_NUM,ROW_ID,WARD_SOURCE
43.59628236294804,-79.50217156237848,0,0,1,1,0,0,0,0,1,3,107,auto
43.59642916815502,-79.50100335994422,0,0,1,1,0,0,0,0,1,3,108,auto
43.59643038479123,-79.5249778067046,0,10,37,37,0,2,1,2,87,3,109,auto
43.59648028046005,-79.52863980950222,0,0,2,2,0,0,0,0,2,3,110,auto
43.59654257586737,-79.54287620674829,1,4,17,17,0,2,2,2,57,3,111,auto
43.596563586067504,-79.52439720525626,0,7,22,20,1,5,1,2,57,3,112,auto
43.596715887592495,-79.52369760356417,0,2,29,29,0,1,0,1,39,3,113,auto
43.59672796705596,-79.50113216000264,0,1,3,3,0,0,0,0,8,3,114,auto
43.596958383355314,-79.52647460628319,0,2,6,6,0,0,1,0,16,3,115,auto
43.59697759020941,-79.52247930070686,0,1,26,25,0,0,0,1,31,3,116,auto
43.59699412394636,-79.510868579063,0,0,4,4,0,0,0,0,4,3,117,auto
43.59704407835526,-79.54966919575735,0,0,2,2,0,0,0,0,2,3,118,auto
43.59713949180394,-79.52172509898935,0,4,12,12,0,0,0,2,32,3,119,auto
43.59721582721756,-79.50985747695964,0,0,3,3,0,0,0,0,3,3,120,auto
43.59722989266481,-79.52131339806407,0,9,41,40,0,2,1,1,86,3,121,auto
43.59729938037975,-79.52901110656124,0,0,4,4,0,0,0,0,4,3,122,auto
43.59736307763129,-79.54324169902137,0,2,10,10,0,1,0,1,20,3,123,auto
43.59736838496985,-79.52475480381521,0,0,4,4,0,0,0,0,4,3,124,auto
43.59741727885371,-79.54807129347797,0,0,2,2,0,0,0,0,2,3,125,auto
43.59746093078508,-79.50874167467985,0,1,4,3,0,0,1,0,9,3,126,auto
43.597472594922856,-79.52021889565772,1,4,44,44,0,0,0,2,84,3,127,auto
43.59749787821888,-79.532038507194,0,0,4,4,0,0,0,0,4,3,128,auto
43.59752656992214,-79.50023275767145,0,1,3,3,0,0,1,0,8,3,129,auto
43.59769087918866,-79.54689939198933,0,2,8,8,0,1,0,0,18,3,130,auto
43.59769173486004,-79.50768707246989,0,0,2,2,0,1,0,0,2,3,131,auto
43.59772239711739,-79.519131393336,0,3,20,20,0,1,0,2,35,3,132,auto
43.59778258201604,-79.52685090383811,0,0,6,6,0,0,0,0,6,3,133,auto
43.59778937928255,-79.53082730530618,0,2,24,24,0,1,1,0,34,3,134,auto
43.59783658898966,-79.52282909935016,0,1,2,2,0,0,0,1,7,3,135,auto
43.59785236878135,-79.50036085771045,0,0,2,2,0,0,0,0,2,3,136,auto
43.59789178039958,-79.55002828641788,0,0,2,2,0,0,0,0,2,3,137,auto
43.597926639399816,-79.5066303701999,0,1,4,4,0,1,0,0,9,3,138,auto
43.59797229929393,-79.51803209108142,0,3,19,18,0,2,0,2,34,3,139,auto
43.59806058019839,-79.52965740374034,0,3,17,16,0,2,2,1,32,3,140,auto
43.59810382070831,-79.51133157894004,0,0,4,4,0,0,0,0,4,3,141,auto
43.598171244466194,-79.50545736769084,0,0,8,8,0,0,0,0,8,3,142,auto
43.59819258407188,-79.52513120207934,0,0,10,10,0,0,0,0,10,3,143,auto
43.59819470143408,-79.51694178896726,0,27,166,160,2,17,0,9,301,3,144,auto
43.59833392383571,-79.51033477693707,0,0,2,2,0,0,0,0,2,3,145,auto
43.59838070411865,-79.51600798708965,0,2,11,11,0,0,0,0,21,3,146,auto
43.59841237992411,-79.54371668892027,0,3,27,27,0,1,1,0,42,3,147,auto
43.59842604950572,-79.50428646517918,0,0,1,1,0,0,0,0,1,3,148,auto
43.59851478110748,-79.54725928334271,0,0,1,1,0,0,0,0,1,3,149,auto
43.5985933072003,-79.51504878511064,0,2,28,28,0,2,1,0,38,3,150,auto
43.598653587846776,-79.52317479799078,0,0,7,7,0,0,0,0,7,3,151,auto
43.59866345434092,-79.50316556277912,0,1,3,3,0,0,1,0,8,3,152,auto
43.598719982245015,-79.55039717793187,0,0,2,2,0,1,0,0,2,3,153,auto
43.59883101073069,-79.51394028287307,0,1,14,14,0,0,0,0,19,3,154,auto
43.59888618034833,-79.53002880031704,0,0,2,2,0,0,0,0,2,3,155,auto
43.59890447100113,-79.49956715558474,0,1,9,9,0,1,0,0,14,3,156,auto
43.598918859148455,-79.50204416036603,0,0,2,2,0,0,0,0,2,3,157,auto
43.59903468262947,-79.52549879978956,0,4,13,13,0,0,0,1,33,3,158,auto
43.59907871395373,-79.5129057807962,1,3,13,13,0,2,0,0,48,3,159,auto
43.59913737917042,-79.53277719908735,0,0,2,2,0,0,0,0,2,3,160,auto
43.59931758193414,-79.54412638001428,0,6,24,24,0,4,0,2,54,3,161,auto
43.59932271725473,-79.51183767870604,0,8,61,61,1,7,2,2,101,3,162,auto
